,decoder_hidden_layers_1,decoder_hidden_layers_2,decoder_hidden_layers_3,decoder_hidden_layers_4,encoder_hidden_dim,encoder_num_layers,p_drop,pos_encoding_size
0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,2,1,2
2,2,2,1,2,2,0,0,3
3,2,1,1,0,2,0,1,2
4,0,2,2,0,2,1,0,0
5,0,2,0,1,0,0,0,2
6,1,2,0,2,2,0,2,2
7,1,2,1,2,1,0,1,2
8,1,0,2,1,2,1,0,0
9,1,1,1,2,1,0,0,1
10,1,1,0,0,2,0,1,3
11,1,2,1,1,2,1,0,3
12,0,2,0,0,0,1,0,2
13,1,0,2,1,2,2,1,3
14,2,0,0,0,0,0,1,1
15,1,1,1,2,1,1,0,2
16,0,2,1,2,0,0,2,0
17,0,2,1,1,0,1,0,1
18,0,2,2,2,1,2,0,1
19,1,0,0,2,1,0,2,0
20,2,1,0,2,1,1,2,2
21,1,1,2,2,1,1,0,1
22,2,0,2,0,1,2,1,2
23,0,0,2,2,0,0,0,0
24,1,1,2,0,0,1,0,0
25,2,2,0,1,0,2,2,2
26,0,2,1,0,2,1,2,3
27,0,1,2,2,2,1,1,1
28,0,0,0,2,0,2,1,3
29,1,2,2,1,0,0,2,2
30,0,1,2,2,1,0,0,1
31,2,2,2,2,0,1,2,2
32,2,2,0,1,1,0,0,1
33,0,2,1,2,0,2,2,2
34,0,2,2,2,0,0,0,2
35,0,2,1,0,2,0,2,0
36,1,2,2,0,0,1,0,2
37,2,1,0,1,2,0,0,1
38,0,1,1,2,0,1,0,2
39,1,0,2,2,1,2,0,0
40,2,1,1,1,2,0,0,3
41,0,0,2,1,2,2,1,1
42,2,1,2,0,0,1,2,2
43,1,0,1,0,1,2,1,1
44,1,0,2,1,0,2,0,0
45,1,2,2,2,2,2,2,1
