Complexity,Loss,Equation
1,3.3040652,"-1.1848791"
3,3.183422,"x0 + -2.0867884"
4,2.7432506,"cos(x0 * -3.3331957)"
6,1.0893279,"cos(x0 * 3.2908401) * 4.9820433"
8,0.31259,"(cos(x0 * -3.4963386) * 5.034565) + -1.2872955"
12,0.31130853,"(cos((x0 * 3.484915) + (x4 * 0.009126071)) * 5.0236554) + -1.2578477"
14,0.310101,"(cos((((x2 * -0.008935047) + -1.8826133) * x0) * 1.8484256) * 5.031059) + -1.2876151"
19,0.30898562,"(cos(x0 * (3.484915 + ((x4 * (cos(1.0607228) * 0.009126071)) * (x2 + x4)))) * 5.0236554) + -1.2683611"
21,0.30895287,"(cos(x0 * (3.484915 + (((x2 + (-0.3533466 + x2)) * x4) * (cos(1.0607228) * 0.009126071)))) * 5.0236554) + -1.2683611"
22,0.30577123,"(cos(x0 * (((x2 + x2) * ((x4 * ((x2 + 3.4849095) * x0)) * 0.0009956462)) + 3.4829495)) * 5.023453) + -1.2692312"
24,0.3056453,"(cos((((x4 * ((x2 + x2) * (((x0 * 3.4849) + x2) * 0.010341426))) * 0.111180976) + 3.4819586) * x0) * 5.023511) + -1.2697717"
